collected_at_utc,robot_id,robot_name,db_name,query,search_url,hit_count,status,notes
2026-08-11T13:38:49+00:00,ROBOT-0005,LilMilo,SCOPUS,"""LilMilo"" AND (""social robot"" OR ""human-robot interaction"" OR pediatric OR child OR clinical OR therapy)",https://www.scopus.com/results/results.uri?query=%22LilMilo%22%20AND%20%28%22social%20robot%22%20OR%20%22human-robot%20interaction%22%20OR%20pediatric%20OR%20child%20OR%20clinical%20OR%20therapy%29,,MANUAL_PENDING,접근 권한/기관 구독 환경에서 수동 확인 필요
2026-08-11T13:38:49+00:00,ROBOT-0006,EBO X,PUBMED,"(EBO X[Title/Abstract]) AND (""social robot""[Title/Abstract] OR ""human-robot interaction""[Title/Abstract] OR pediatric[Title/Abstract] OR child[Title/Abstract] OR clinical[Title/Abstract] OR therapy[Title/Abstract])",https://pubmed.ncbi.nlm.nih.gov/?term=%28EBO%20X%5BTitle/Abstract%5D%29%20AND%20%28%22social%20robot%22%5BTitle/Abstract%5D%20OR%20%22human-robot%20interaction%22%5BTitle/Abstract%5D%20OR%20pediatric%5BTitle/Abstract%5D%20OR%20child%5BTitle/Abstract%5D%20OR%20clinical%5BTitle/Abstract%5D%20OR%20therapy%5BTitle/Abstract%5D%29,,AUTO_FAILED:URLError,
2026-08-11T13:38:49+00:00,ROBOT-0006,EBO X,IEEE_XPLORE,"""EBO X"" AND (""social robot"" OR ""human-robot interaction"" OR pediatric OR child OR clinical OR therapy)",https://ieeexplore.ieee.org/search/searchresult.jsp?queryText=%22EBO%20X%22%20AND%20%28%22social%20robot%22%20OR%20%22human-robot%20interaction%22%20OR%20pediatric%20OR%20child%20OR%20clinical%20OR%20therapy%29,,MANUAL_PENDING,접근 권한/기관 구독 환경에서 수동 확인 필요
2026-08-11T13:38:49+00:00,ROBOT-0006,EBO X,ACM_DL,"""EBO X"" AND (""social robot"" OR ""human-robot interaction"" OR pediatric OR child OR clinical OR therapy)",https://dl.acm.org/action/doSearch?AllField=%22EBO%20X%22%20AND%20%28%22social%20robot%22%20OR%20%22human-robot%20interaction%22%20OR%20pediatric%20OR%20child%20OR%20clinical%20OR%20therapy%29,,MANUAL_PENDING,접근 권한/기관 구독 환경에서 수동 확인 필요
2026-08-11T13:38:49+00:00,ROBOT-0006,EBO X,SCOPUS,"""EBO X"" AND (""social robot"" OR ""human-robot interaction"" OR pediatric OR child OR clinical OR therapy)",https://www.scopus.com/results/results.uri?query=%22EBO%20X%22%20AND%20%28%22social%20robot%22%20OR%20%22human-robot%20interaction%22%20OR%20pediatric%20OR%20child%20OR%20clinical%20OR%20therapy%29,,MANUAL_PENDING,접근 권한/기관 구독 환경에서 수동 확인 필요
2026-08-11T13:38:49+00:00,ROBOT-0007,EBO Max FamilyBot,PUBMED,"(EBO Max FamilyBot[Title/Abstract]) AND (""social robot""[Title/Abstract] OR ""human-robot interaction""[Title/Abstract] OR pediatric[Title/Abstract] OR child[Title/Abstract] OR clinical[Title/Abstract] OR therapy[Title/Abstract])",https://pubmed.ncbi.nlm.nih.gov/?term=%28EBO%20Max%20FamilyBot%5BTitle/Abstract%5D%29%20AND%20%28%22social%20robot%22%5BTitle/Abstract%5D%20OR%20%22human-robot%20interaction%22%5BTitle/Abstract%5D%20OR%20pediatric%5BTitle/Abstract%5D%20OR%20child%5BTitle/Abstract%5D%20OR%20clinical%5BTitle/Abstract%5D%20OR%20therapy%5BTitle/Abstract%5D%29,,AUTO_FAILED:URLError,
2026-08-11T13:38:49+00:00,ROBOT-0007,EBO Max FamilyBot,IEEE_XPLORE,"""EBO Max FamilyBot"" AND (""social robot"" OR ""human-robot interaction"" OR pediatric OR child OR clinical OR therapy)",https://ieeexplore.ieee.org/search/searchresult.jsp?queryText=%22EBO%20Max%20FamilyBot%22%20AND%20%28%22social%20robot%22%20OR%20%22human-robot%20interaction%22%20OR%20pediatric%20OR%20child%20OR%20clinical%20OR%20therapy%29,,MANUAL_PENDING,접근 권한/기관 구독 환경에서 수동 확인 필요
2026-08-11T13:38:49+00:00,ROBOT-0007,EBO Max FamilyBot,ACM_DL,"""EBO Max FamilyBot"" AND (""social robot"" OR ""human-robot interaction"" OR pediatric OR child OR clinical OR therapy)",https://dl.acm.org/action/doSearch?AllField=%22EBO%20Max%20FamilyBot%22%20AND%20%28%22social%20robot%22%20OR%20%22human-robot%20interaction%22%20OR%20pediatric%20OR%20child%20OR%20clinical%20OR%20therapy%29,,MANUAL_PENDING,접근 권한/기관 구독 환경에서 수동 확인 필요
2026-08-11T13:38:49+00:00,ROBOT-0007,EBO Max FamilyBot,SCOPUS,"""EBO Max FamilyBot"" AND (""social robot"" OR ""human-robot interaction"" OR pediatric OR child OR clinical OR therapy)",https://www.scopus.com/results/results.uri?query=%22EBO%20Max%20FamilyBot%22%20AND%20%28%22social%20robot%22%20OR%20%22human-robot%20interaction%22%20OR%20pediatric%20OR%20child%20OR%20clinical%20OR%20therapy%29,,MANUAL_PENDING,접근 권한/기관 구독 환경에서 수동 확인 필요
2026-08-11T13:38:49+00:00,ROBOT-0008,EBO Mini Sport FamilyBot,PUBMED,"(EBO Mini Sport FamilyBot[Title/Abstract]) AND (""social robot""[Title/Abstract] OR ""human-robot interaction""[Title/Abstract] OR pediatric[Title/Abstract] OR child[Title/Abstract] OR clinical[Title/Abstract] OR therapy[Title/Abstract])",https://pubmed.ncbi.nlm.nih.gov/?term=%28EBO%20Mini%20Sport%20FamilyBot%5BTitle/Abstract%5D%29%20AND%20%28%22social%20robot%22%5BTitle/Abstract%5D%20OR%20%22human-robot%20interaction%22%5BTitle/Abstract%5D%20OR%20pediatric%5BTitle/Abstract%5D%20OR%20child%5BTitle/Abstract%5D%20OR%20clinical%5BTitle/Abstract%5D%20OR%20therapy%5BTitle/Abstract%5D%29,,AUTO_FAILED:URLError,
2026-08-11T13:38:49+00:00,ROBOT-0008,EBO Mini Sport FamilyBot,IEEE_XPLORE,"""EBO Mini Sport FamilyBot"" AND (""social robot"" OR ""human-robot interaction"" OR pediatric OR child OR clinical OR therapy)",https://ieeexplore.ieee.org/search/searchresult.jsp?queryText=%22EBO%20Mini%20Sport%20FamilyBot%22%20AND%20%28%22social%20robot%22%20OR%20%22human-robot%20interaction%22%20OR%20pediatric%20OR%20child%20OR%20clinical%20OR%20therapy%29,,MANUAL_PENDING,접근 권한/기관 구독 환경에서 수동 확인 필요
2026-08-11T13:38:49+00:00,ROBOT-0008,EBO Mini Sport FamilyBot,ACM_DL,"""EBO Mini Sport FamilyBot"" AND (""social robot"" OR ""human-robot interaction"" OR pediatric OR child OR clinical OR therapy)",https://dl.acm.org/action/doSearch?AllField=%22EBO%20Mini%20Sport%20FamilyBot%22%20AND%20%28%22social%20robot%22%20OR%20%22human-robot%20interaction%22%20OR%20pediatric%20OR%20child%20OR%20clinical%20OR%20therapy%29,,MANUAL_PENDING,접근 권한/기관 구독 환경에서 수동 확인 필요
2026-08-11T13:38:49+00:00,ROBOT-0008,EBO Mini Sport FamilyBot,SCOPUS,"""EBO Mini Sport FamilyBot"" AND (""social robot"" OR ""human-robot interaction"" OR pediatric OR child OR clinical OR therapy)",https://www.scopus.com/results/results.uri?query=%22EBO%20Mini%20Sport%20FamilyBot%22%20AND%20%28%22social%20robot%22%20OR%20%22human-robot%20interaction%22%20OR%20pediatric%20OR%20child%20OR%20clinical%20OR%20therapy%29,,MANUAL_PENDING,접근 권한/기관 구독 환경에서 수동 확인 필요
2026-08-11T13:38:49+00:00,ROBOT-0009,Gogobot D1,PUBMED,"(Gogobot D1[Title/Abstract]) AND (""social robot""[Title/Abstract] OR ""human-robot interaction""[Title/Abstract] OR pediatric[Title/Abstract] OR child[Title/Abstract] OR clinical[Title/Abstract] OR therapy[Title/Abstract])",https://pubmed.ncbi.nlm.nih.gov/?term=%28Gogobot%20D1%5BTitle/Abstract%5D%29%20AND%20%28%22social%20robot%22%5BTitle/Abstract%5D%20OR%20%22human-robot%20interaction%22%5BTitle/Abstract%5D%20OR%20pediatric%5BTitle/Abstract%5D%20OR%20child%5BTitle/Abstract%5D%20OR%20clinical%5BTitle/Abstract%5D%20OR%20therapy%5BTitle/Abstract%5D%29,,AUTO_FAILED:URLError,
2026-08-11T13:38:49+00:00,ROBOT-0009,Gogobot D1,IEEE_XPLORE,"""Gogobot D1"" AND (""social robot"" OR ""human-robot interaction"" OR pediatric OR child OR clinical OR therapy)",https://ieeexplore.ieee.org/search/searchresult.jsp?queryText=%22Gogobot%20D1%22%20AND%20%28%22social%20robot%22%20OR%20%22human-robot%20interaction%22%20OR%20pediatric%20OR%20child%20OR%20clinical%20OR%20therapy%29,,MANUAL_PENDING,접근 권한/기관 구독 환경에서 수동 확인 필요
2026-08-11T13:38:49+00:00,ROBOT-0009,Gogobot D1,ACM_DL,"""Gogobot D1"" AND (""social robot"" OR ""human-robot interaction"" OR pediatric OR child OR clinical OR therapy)",https://dl.acm.org/action/doSearch?AllField=%22Gogobot%20D1%22%20AND%20%28%22social%20robot%22%20OR%20%22human-robot%20interaction%22%20OR%20pediatric%20OR%20child%20OR%20clinical%20OR%20therapy%29,,MANUAL_PENDING,접근 권한/기관 구독 환경에서 수동 확인 필요
2026-08-11T13:38:49+00:00,ROBOT-0009,Gogobot D1,SCOPUS,"""Gogobot D1"" AND (""social robot"" OR ""human-robot interaction"" OR pediatric OR child OR clinical OR therapy)",https://www.scopus.com/results/results.uri?query=%22Gogobot%20D1%22%20AND%20%28%22social%20robot%22%20OR%20%22human-robot%20interaction%22%20OR%20pediatric%20OR%20child%20OR%20clinical%20OR%20therapy%29,,MANUAL_PENDING,접근 권한/기관 구독 환경에서 수동 확인 필요
2026-08-11T13:38:49+00:00,ROBOT-0010,LOVOT,PUBMED,"(LOVOT[Title/Abstract]) AND (""social robot""[Title/Abstract] OR ""human-robot interaction""[Title/Abstract] OR pediatric[Title/Abstract] OR child[Title/Abstract] OR clinical[Title/Abstract] OR therapy[Title/Abstract])",https://pubmed.ncbi.nlm.nih.gov/?term=%28LOVOT%5BTitle/Abstract%5D%29%20AND%20%28%22social%20robot%22%5BTitle/Abstract%5D%20OR%20%22human-robot%20interaction%22%5BTitle/Abstract%5D%20OR%20pediatric%5BTitle/Abstract%5D%20OR%20child%5BTitle/Abstract%5D%20OR%20clinical%5BTitle/Abstract%5D%20OR%20therapy%5BTitle/Abstract%5D%29,,AUTO_FAILED:URLError,
2026-08-11T13:38:49+00:00,ROBOT-0010,LOVOT,IEEE_XPLORE,"""LOVOT"" AND (""social robot"" OR ""human-robot interaction"" OR pediatric OR child OR clinical OR therapy)",https://ieeexplore.ieee.org/search/searchresult.jsp?queryText=%22LOVOT%22%20AND%20%28%22social%20robot%22%20OR%20%22human-robot%20interaction%22%20OR%20pediatric%20OR%20child%20OR%20clinical%20OR%20therapy%29,,MANUAL_PENDING,접근 권한/기관 구독 환경에서 수동 확인 필요
2026-08-11T13:38:49+00:00,ROBOT-0010,LOVOT,ACM_DL,"""LOVOT"" AND (""social robot"" OR ""human-robot interaction"" OR pediatric OR child OR clinical OR therapy)",https://dl.acm.org/action/doSearch?AllField=%22LOVOT%22%20AND%20%28%22social%20robot%22%20OR%20%22human-robot%20interaction%22%20OR%20pediatric%20OR%20child%20OR%20clinical%20OR%20therapy%29,,MANUAL_PENDING,접근 권한/기관 구독 환경에서 수동 확인 필요
2026-08-11T13:38:49+00:00,ROBOT-0010,LOVOT,SCOPUS,"""LOVOT"" AND (""social robot"" OR ""human-robot interaction"" OR pediatric OR child OR clinical OR therapy)",https://www.scopus.com/results/results.uri?query=%22LOVOT%22%20AND%20%28%22social%20robot%22%20OR%20%22human-robot%20interaction%22%20OR%20pediatric%20OR%20child%20OR%20clinical%20OR%20therapy%29,,MANUAL_PENDING,접근 권한/기관 구독 환경에서 수동 확인 필요
2026-08-11T13:38:49+00:00,ROBOT-0011,Joobie,PUBMED,"(Joobie[Title/Abstract]) AND (""social robot""[Title/Abstract] OR ""human-robot interaction""[Title/Abstract] OR pediatric[Title/Abstract] OR child[Title/Abstract] OR clinical[Title/Abstract] OR therapy[Title/Abstract])",https://pubmed.ncbi.nlm.nih.gov/?term=%28Joobie%5BTitle/Abstract%5D%29%20AND%20%28%22social%20robot%22%5BTitle/Abstract%5D%20OR%20%22human-robot%20interaction%22%5BTitle/Abstract%5D%20OR%20pediatric%5BTitle/Abstract%5D%20OR%20child%5BTitle/Abstract%5D%20OR%20clinical%5BTitle/Abstract%5D%20OR%20therapy%5BTitle/Abstract%5D%29,,AUTO_FAILED:URLError,
2026-08-11T13:38:49+00:00,ROBOT-0011,Joobie,IEEE_XPLORE,"""Joobie"" AND (""social robot"" OR ""human-robot interaction"" OR pediatric OR child OR clinical OR therapy)",https://ieeexplore.ieee.org/search/searchresult.jsp?queryText=%22Joobie%22%20AND%20%28%22social%20robot%22%20OR%20%22human-robot%20interaction%22%20OR%20pediatric%20OR%20child%20OR%20clinical%20OR%20therapy%29,,MANUAL_PENDING,접근 권한/기관 구독 환경에서 수동 확인 필요
